dentatum	78
loeseneri	57
stenocalyx	51
tiliaefolium	10
microcarpum	6
caudatum	10
ciliatum	0
hirsutum	54
sulcatum	10
fuscum	49
microphyllum	10
acutifolium	51
newsp.1	55
membranaceum	0
newsp.2	0
discolor	10
disjunctum	10
blandum	10
lautum	51
jucundum	10
stellato-tomentosum	10
alpinum	10
villosum	10
obtusatum	10
hartwegii	10
costaricanum	0
tinoides_1	10
undulatum	22
subsessile	4
tinoides_2	10
triphyllum	67
lasiophyllum	10
pichinchense	0
jamesonii	10
hallii	10
toronis	10
seemenii	10
dumatorum	10
reticulatum	10
triphyllum_new	0
ayavacense	10
