dentatum	5
loeseneri	5
stenocalyx	27
tiliaefolium	20
microcarpum	72
caudatum	5
ciliatum	5
hirsutum	5
sulcatum	22
fuscum	5
microphyllum	5
acutifolium	5
newsp.1	5
membranaceum	7
newsp.2	7
discolor	22
disjunctum	5
blandum	20
lautum	19
jucundum	5
stellato-tomentosum	5
alpinum	72
villosum	5
obtusatum	5
hartwegii	5
costaricanum	5
tinoides_1	5
undulatum	62
subsessile	5
tinoides_2	5
triphyllum	5
lasiophyllum	5
pichinchense	8
jamesonii	39
hallii	8
toronis	8
seemenii	8
dumatorum	8
reticulatum	8
triphyllum_new	8
ayavacense	8
