dentatum	1
loeseneri	0
stenocalyx	0
tiliaefolium	9
microcarpum	46
caudatum	0
ciliatum	9
hirsutum	9
sulcatum	9
fuscum	9
microphyllum	57
acutifolium	42
newsp.1	9
membranaceum	9
newsp.2	9
discolor	9
disjunctum	66
blandum	9
lautum	45
jucundum	9
stellato-tomentosum	9
alpinum	9
villosum	9
obtusatum	9
hartwegii	0
costaricanum	9
tinoides_1	9
undulatum	9
subsessile	9
tinoides_2	9
triphyllum	9
lasiophyllum	9
pichinchense	9
jamesonii	9
hallii	9
toronis	9
seemenii	9
dumatorum	43
reticulatum	9
triphyllum_new	9
ayavacense	9
