NodeLabel                 	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate
jucundum                  	     1	     -	     -	               -	               -	               -	        0.655353	
lautum                    	     2	     -	     -	               -	               -	               -	        0.739738	
discolor                  	     3	     -	     -	               -	               -	               -	        1.416166	
blandum                   	     4	     -	     -	               -	               -	               -	        0.850546	
disjunctum                	     5	     -	     -	               -	               -	               -	        1.269232	
obtusatum                 	     6	     -	     -	               -	               -	               -	        1.166365	
hartwegii                 	     7	     -	     -	               -	               -	               -	        1.136629	
costaricanum              	     8	     -	     -	               -	               -	               -	        1.169190	
reticulatum               	     9	     -	     -	               -	               -	               -	        1.991451	
ayavacense                	    10	     -	     -	               -	               -	               -	        3.278462	
triphyllum new            	    11	     -	     -	               -	               -	               -	        2.414051	
dumatorum                 	    12	     -	     -	               -	               -	               -	        3.217444	
seemenii                  	    13	     -	     -	               -	               -	               -	        3.296658	
toronis                   	    14	     -	     -	               -	               -	               -	        1.894775	
jamesonii                 	    15	     -	     -	               -	               -	               -	        2.261393	
hallii                    	    16	     -	     -	               -	               -	               -	        1.928367	
pichinchense              	    17	     -	     -	               -	               -	               -	        1.603515	
tinoides 2                	    18	     -	     -	               -	               -	               -	        1.854401	
triphyllum                	    19	     -	     -	               -	               -	               -	        2.523256	
lasiophyllum              	    20	     -	     -	               -	               -	               -	        1.372866	
tinoides 1                	    21	     -	     -	               -	               -	               -	        1.311280	
undulatum                 	    22	     -	     -	               -	               -	               -	        2.225619	
subsessile                	    23	     -	     -	               -	               -	               -	        2.404401	
stellato-tomentosum       	    24	     -	     -	               -	               -	               -	        0.997602	
alpinum                   	    25	     -	     -	               -	               -	               -	        1.857042	
villosum                  	    26	     -	     -	               -	               -	               -	        1.134442	
fuscum                    	    27	     -	     -	               -	               -	               -	        1.228215	
microphyllum              	    28	     -	     -	               -	               -	               -	        0.930771	
newsp.1                   	    29	     -	     -	               -	               -	               -	        1.107603	
acutifolium               	    30	     -	     -	               -	               -	               -	        0.804819	
newsp.2                   	    31	     -	     -	               -	               -	               -	        0.866804	
membranaceum              	    32	     -	     -	               -	               -	               -	        1.197224	
sulcatum                  	    33	     -	     -	               -	               -	               -	        0.850636	
stenocalyx                	    34	     -	     -	               -	               -	               -	        0.966241	
loeseneri                 	    35	     -	     -	               -	               -	               -	        0.892030	
caudatum                  	    36	     -	     -	               -	               -	               -	        1.143834	
hirsutum                  	    37	     -	     -	               -	               -	               -	        1.089590	
ciliatum                  	    38	     -	     -	               -	               -	               -	        1.190024	
microcarpum               	    39	     -	     -	               -	               -	               -	        0.776758	
tiliaefolium              	    40	     -	     -	               -	               -	               -	        0.850641	
dentatum                  	    41	     -	     -	               -	               -	               -	        1.061426	
faux outgroup [*]         	    42	     -	     -	               -	               -	               -	        1.000000	
-                         	    43	     1	     2	        0.003196	        0.001099	        0.009299	        0.696268
-                         	    44	    43	     3	        0.003685	        0.001441	        0.009419	        0.992991
-                         	    45	    44	     4	        0.003982	        0.001662	        0.009420	        0.919013
-                         	    46	    45	     5	        0.004380	        0.002036	        0.009420	        1.080019
-                         	    47	    10	    11	        0.000813	        0.000243	        0.002723	        2.813249
-                         	    48	     9	    47	        0.000946	        0.000298	        0.002999	        2.366949
-                         	    49	    12	    13	        0.000843	        0.000260	        0.002737	        3.256810
-                         	    50	    48	    49	        0.001118	        0.000373	        0.003348	        2.776455
-                         	    51	    50	    14	        0.001262	        0.000441	        0.003605	        2.293634
-                         	    52	    15	    16	        0.001006	        0.000325	        0.003111	        2.088252
