NodeLabel                 	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate
disjunctum                	     1	     -	     -	               -	               -	               -	        1.347505	
discolor                  	     2	     -	     -	               -	               -	               -	        1.264156	
blandum                   	     3	     -	     -	               -	               -	               -	        0.898990	
lautum                    	     4	     -	     -	               -	               -	               -	        0.779047	
jucundum                  	     5	     -	     -	               -	               -	               -	        0.687648	
alpinum                   	     6	     -	     -	               -	               -	               -	        2.004755	
villosum                  	     7	     -	     -	               -	               -	               -	        1.160732	
stellato-tomentosum       	     8	     -	     -	               -	               -	               -	        1.002656	
costaricanum              	     9	     -	     -	               -	               -	               -	        1.179017	
jamesonii                 	    10	     -	     -	               -	               -	               -	        2.292923	
hallii                    	    11	     -	     -	               -	               -	               -	        1.987209	
pichinchense              	    12	     -	     -	               -	               -	               -	        1.623540	
toronis                   	    13	     -	     -	               -	               -	               -	        1.955723	
ayavacense                	    14	     -	     -	               -	               -	               -	        3.326054	
triphyllum new            	    15	     -	     -	               -	               -	               -	        2.455379	
reticulatum               	    16	     -	     -	               -	               -	               -	        2.034878	
dumatorum                 	    17	     -	     -	               -	               -	               -	        3.198367	
seemenii                  	    18	     -	     -	               -	               -	               -	        3.412940	
tinoides 1                	    19	     -	     -	               -	               -	               -	        1.352514	
undulatum                 	    20	     -	     -	               -	               -	               -	        2.317842	
subsessile                	    21	     -	     -	               -	               -	               -	        2.488957	
tinoides 2                	    22	     -	     -	               -	               -	               -	        1.937998	
triphyllum                	    23	     -	     -	               -	               -	               -	        2.493847	
lasiophyllum              	    24	     -	     -	               -	               -	               -	        1.377099	
hartwegii                 	    25	     -	     -	               -	               -	               -	        1.137964	
obtusatum                 	    26	     -	     -	               -	               -	               -	        1.201090	
fuscum                    	    27	     -	     -	               -	               -	               -	        1.249566	
microphyllum              	    28	     -	     -	               -	               -	               -	        0.952313	
acutifolium               	    29	     -	     -	               -	               -	               -	        0.798897	
newsp.1                   	    30	     -	     -	               -	               -	               -	        1.122086	
membranaceum              	    31	     -	     -	               -	               -	               -	        1.200655	
newsp.2                   	    32	     -	     -	               -	               -	               -	        0.900275	
sulcatum                  	    33	     -	     -	               -	               -	               -	        0.848932	
hirsutum                  	    34	     -	     -	               -	               -	               -	        1.075645	
ciliatum                  	    35	     -	     -	               -	               -	               -	        1.216125	
caudatum                  	    36	     -	     -	               -	               -	               -	        1.139344	
microcarpum               	    37	     -	     -	               -	               -	               -	        0.779636	
