NodeLabel                 	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate
disjunctum                	     1	     -	     -	               -	               -	               -	        1.359262	
discolor                  	     2	     -	     -	               -	               -	               -	        1.260832	
blandum                   	     3	     -	     -	               -	               -	               -	        0.882376	
lautum                    	     4	     -	     -	               -	               -	               -	        0.749684	
jucundum                  	     5	     -	     -	               -	               -	               -	        0.670198	
undulatum                 	     6	     -	     -	               -	               -	               -	        2.277357	
subsessile                	     7	     -	     -	               -	               -	               -	        2.483804	
tinoides 1                	     8	     -	     -	               -	               -	               -	        1.324046	
tinoides 2                	     9	     -	     -	               -	               -	               -	        1.910397	
lasiophyllum              	    10	     -	     -	               -	               -	               -	        1.358718	
triphyllum                	    11	     -	     -	               -	               -	               -	        2.481613	
pichinchense              	    12	     -	     -	               -	               -	               -	        1.621460	
jamesonii                 	    13	     -	     -	               -	               -	               -	        2.230294	
hallii                    	    14	     -	     -	               -	               -	               -	        1.924708	
toronis                   	    15	     -	     -	               -	               -	               -	        1.931234	
reticulatum               	    16	     -	     -	               -	               -	               -	        1.990456	
ayavacense                	    17	     -	     -	               -	               -	               -	        3.311722	
triphyllum new            	    18	     -	     -	               -	               -	               -	        2.478942	
seemenii                  	    19	     -	     -	               -	               -	               -	        3.404275	
dumatorum                 	    20	     -	     -	               -	               -	               -	        3.233463	
costaricanum              	    21	     -	     -	               -	               -	               -	        1.175754	
hartwegii                 	    22	     -	     -	               -	               -	               -	        1.137862	
obtusatum                 	    23	     -	     -	               -	               -	               -	        1.188862	
alpinum                   	    24	     -	     -	               -	               -	               -	        1.933309	
villosum                  	    25	     -	     -	               -	               -	               -	        1.117364	
stellato-tomentosum       	    26	     -	     -	               -	               -	               -	        0.986065	
fuscum                    	    27	     -	     -	               -	               -	               -	        1.243300	
microphyllum              	    28	     -	     -	               -	               -	               -	        0.950841	
newsp.2                   	    29	     -	     -	               -	               -	               -	        0.865063	
membranaceum              	    30	     -	     -	               -	               -	               -	        1.188968	
newsp.1                   	    31	     -	     -	               -	               -	               -	        1.116393	
acutifolium               	    32	     -	     -	               -	               -	               -	        0.791309	
sulcatum                  	    33	     -	     -	               -	               -	               -	        0.848025	
tiliaefolium              	    34	     -	     -	               -	               -	               -	        0.850584	
hirsutum                  	    35	     -	     -	               -	               -	               -	        0.983768	
ciliatum                  	    36	     -	     -	               -	               -	               -	        1.108207	
microcarpum               	    37	     -	     -	               -	               -	               -	        0.830440	
caudatum                  	    38	     -	     -	               -	               -	               -	        1.159130	
stenocalyx                	    39	     -	     -	               -	               -	               -	        0.977680	
loeseneri                 	    40	     -	     -	               -	               -	               -	        0.901813	
dentatum                  	    41	     -	     -	               -	               -	               -	        1.051868	
faux outgroup [*]         	    42	     -	     -	               -	               -	               -	        1.000000	
-                         	    43	     1	     2	        0.003625	        0.001569	        0.008374	        1.309122
-                         	    44	     4	     5	        0.003070	        0.001148	        0.008213	        0.708828
-                         	    45	     3	    44	        0.003814	        0.001588	        0.009164	        0.790855
-                         	    46	    43	    45	        0.004236	        0.001927	        0.009313	        1.017510
-                         	    47	     6	     7	        0.000931	        0.000286	        0.003031	        2.378342
-                         	    48	    47	     8	        0.001137	        0.000373	        0.003463	        1.774552
-                         	    49	    10	    11	        0.001028	        0.000320	        0.003301	        1.836249
-                         	    50	     9	    49	        0.001222	        0.000409	        0.003657	        1.872956
-                         	    51	    48	    50	        0.001414	        0.000492	        0.004057	        1.823090
-                         	    52	    13	    14	        0.001009	        0.000315	        0.003236	        2.071875
-                         	    53	    12	    52	        0.001208	        0.000401	        0.003638	        1.832884
-                         	    54	    17	    18	        0.000792	        0.000226	        0.002772	        2.865234
-                         	    55	    16	    54	        0.000942	        0.000286	        0.003105	        2.388121
-                         	    56	    19	    20	        0.000838	        0.000248	        0.002827	        3.317770
-                         	    57	    55	    56	        0.001110	        0.000357	        0.003455	        2.814824
