NodeLabel                 	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate
disjunctum                	     1	     -	     -	               -	               -	               -	        1.404884	
discolor                  	     2	     -	     -	               -	               -	               -	        1.386521	
lautum                    	     3	     -	     -	               -	               -	               -	        0.808934	
jucundum                  	     4	     -	     -	               -	               -	               -	        0.719029	
blandum                   	     5	     -	     -	               -	               -	               -	        0.950286	
alpinum                   	     6	     -	     -	               -	               -	               -	        1.930732	
villosum                  	     7	     -	     -	               -	               -	               -	        1.132635	
stellato-tomentosum       	     8	     -	     -	               -	               -	               -	        1.007891	
obtusatum                 	     9	     -	     -	               -	               -	               -	        1.113544	
hartwegii                 	    10	     -	     -	               -	               -	               -	        1.080766	
costaricanum              	    11	     -	     -	               -	               -	               -	        1.112424	
jamesonii                 	    12	     -	     -	               -	               -	               -	        2.149841	
hallii                    	    13	     -	     -	               -	               -	               -	        1.851689	
pichinchense              	    14	     -	     -	               -	               -	               -	        1.515656	
toronis                   	    15	     -	     -	               -	               -	               -	        1.802885	
seemenii                  	    16	     -	     -	               -	               -	               -	        3.243677	
dumatorum                 	    17	     -	     -	               -	               -	               -	        3.073837	
reticulatum               	    18	     -	     -	               -	               -	               -	        1.925398	
ayavacense                	    19	     -	     -	               -	               -	               -	        3.149734	
triphyllum new            	    20	     -	     -	               -	               -	               -	        2.316253	
lasiophyllum              	    21	     -	     -	               -	               -	               -	        1.265325	
triphyllum                	    22	     -	     -	               -	               -	               -	        2.344614	
tinoides 2                	    23	     -	     -	               -	               -	               -	        1.800812	
tinoides 1                	    24	     -	     -	               -	               -	               -	        1.261127	
subsessile                	    25	     -	     -	               -	               -	               -	        2.281864	
undulatum                 	    26	     -	     -	               -	               -	               -	        2.180873	
fuscum                    	    27	     -	     -	               -	               -	               -	        1.241878	
microphyllum              	    28	     -	     -	               -	               -	               -	        0.944424	
acutifolium               	    29	     -	     -	               -	               -	               -	        0.798458	
newsp.1                   	    30	     -	     -	               -	               -	               -	        1.134200	
newsp.2                   	    31	     -	     -	               -	               -	               -	        0.881274	
membranaceum              	    32	     -	     -	               -	               -	               -	        1.198918	
sulcatum                  	    33	     -	     -	               -	               -	               -	        0.860756	
loeseneri                 	    34	     -	     -	               -	               -	               -	        0.905399	
stenocalyx                	    35	     -	     -	               -	               -	               -	        0.966958	
tiliaefolium              	    36	     -	     -	               -	               -	               -	        0.845571	
hirsutum                  	    37	     -	     -	               -	               -	               -	        1.000532	
ciliatum                  	    38	     -	     -	               -	               -	               -	        1.094918	
microcarpum               	    39	     -	     -	               -	               -	               -	        0.827534	
caudatum                  	    40	     -	     -	               -	               -	               -	        1.181258	
dentatum                  	    41	     -	     -	               -	               -	               -	        1.043371	
faux outgroup [*]         	    42	     -	     -	               -	               -	               -	        1.000000	
-                         	    43	     1	     2	        0.003429	        0.001558	        0.007548	        1.395672
-                         	    44	     3	     4	        0.002900	        0.001159	        0.007256	        0.762657
-                         	    45	    44	     5	        0.003573	        0.001569	        0.008134	        0.851318
-                         	    46	    43	    45	        0.003946	        0.001873	        0.008315	        1.090028
-                         	    47	     6	     7	        0.001728	        0.000733	        0.004073	        1.478789
-                         	    48	    47	     8	        0.003293	        0.001536	        0.007059	        1.220843
-                         	    49	    46	    48	        0.004305	        0.002122	        0.008736	        1.153583
-                         	    50	    12	    13	        0.001036	        0.000363	        0.002953	        1.995203
-                         	    51	    50	    14	        0.001255	        0.000468	        0.003360	        1.738977
-                         	    52	    16	    17	        0.000899	        0.000303	        0.002662	        3.157616
-                         	    53	    19	    20	        0.000832	        0.000269	        0.002568	        2.701033
-                         	    54	    18	    53	        0.000979	        0.000335	        0.002860	        2.280475
-                         	    55	    52	    54	        0.001169	        0.000424	        0.003221	        2.683442
-                         	    56	    15	    55	        0.001301	        0.000493	        0.003433	        2.199531
-                         	    57	    51	    56	        0.001501	        0.000590	        0.003819	        1.955744
-                         	    58	    21	    22	        0.001080	        0.000380	        0.003067	        1.722411
