NodeLabel                 	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate
jucundum                  	     1	     -	     -	               -	               -	               -	        0.684938	
lautum                    	     2	     -	     -	               -	               -	               -	        0.779043	
discolor                  	     3	     -	     -	               -	               -	               -	        1.485196	
blandum                   	     4	     -	     -	               -	               -	               -	        0.915531	
disjunctum                	     5	     -	     -	               -	               -	               -	        1.359171	
alpinum                   	     6	     -	     -	               -	               -	               -	        1.896998	
villosum                  	     7	     -	     -	               -	               -	               -	        1.172939	
stellato-tomentosum       	     8	     -	     -	               -	               -	               -	        1.037049	
costaricanum              	     9	     -	     -	               -	               -	               -	        1.115731	
undulatum                 	    10	     -	     -	               -	               -	               -	        2.155131	
subsessile                	    11	     -	     -	               -	               -	               -	        2.324546	
tinoides 1                	    12	     -	     -	               -	               -	               -	        1.239425	
tinoides 2                	    13	     -	     -	               -	               -	               -	        1.777222	
lasiophyllum              	    14	     -	     -	               -	               -	               -	        1.306177	
triphyllum                	    15	     -	     -	               -	               -	               -	        2.337151	
pichinchense              	    16	     -	     -	               -	               -	               -	        1.511610	
hallii                    	    17	     -	     -	               -	               -	               -	        1.863617	
jamesonii                 	    18	     -	     -	               -	               -	               -	        2.109785	
toronis                   	    19	     -	     -	               -	               -	               -	        1.847245	
reticulatum               	    20	     -	     -	               -	               -	               -	        1.900777	
ayavacense                	    21	     -	     -	               -	               -	               -	        3.189901	
triphyllum new            	    22	     -	     -	               -	               -	               -	        2.222534	
dumatorum                 	    23	     -	     -	               -	               -	               -	        3.055712	
seemenii                  	    24	     -	     -	               -	               -	               -	        3.115037	
hartwegii                 	    25	     -	     -	               -	               -	               -	        1.090626	
obtusatum                 	    26	     -	     -	               -	               -	               -	        1.116997	
fuscum                    	    27	     -	     -	               -	               -	               -	        1.219215	
microphyllum              	    28	     -	     -	               -	               -	               -	        0.946051	
newsp.1                   	    29	     -	     -	               -	               -	               -	        1.138103	
acutifolium               	    30	     -	     -	               -	               -	               -	        0.813747	
membranaceum              	    31	     -	     -	               -	               -	               -	        1.207156	
newsp.2                   	    32	     -	     -	               -	               -	               -	        0.887235	
sulcatum                  	    33	     -	     -	               -	               -	               -	        0.837000	
tiliaefolium              	    34	     -	     -	               -	               -	               -	        0.865870	
microcarpum               	    35	     -	     -	               -	               -	               -	        0.782549	
caudatum                  	    36	     -	     -	               -	               -	               -	        1.148073	
ciliatum                  	    37	     -	     -	               -	               -	               -	        1.175350	
hirsutum                  	    38	     -	     -	               -	               -	               -	        1.076374	
loeseneri                 	    39	     -	     -	               -	               -	               -	        0.895239	
stenocalyx                	    40	     -	     -	               -	               -	               -	        0.982619	
dentatum                  	    41	     -	     -	               -	               -	               -	        1.059084	
faux outgroup [*]         	    42	     -	     -	               -	               -	               -	        1.000000	
