dentatum	7
loeseneri	0
stenocalyx	2
tiliaefolium	2
microcarpum	2
caudatum	69
ciliatum	2
hirsutum	2
sulcatum	25
fuscum	2
microphyllum	2
acutifolium	2
newsp.1	69
membranaceum	2
newsp.2	15
discolor	2
disjunctum	29
blandum	1
lautum	1
jucundum	1
stellato-tomentosum	0
alpinum	2
villosum	2
obtusatum	2
hartwegii	9
costaricanum	9
tinoides_1	9
undulatum	9
subsessile	9
tinoides_2	9
triphyllum	9
lasiophyllum	9
pichinchense	9
jamesonii	9
hallii	9
toronis	9
seemenii	9
dumatorum	9
reticulatum	76
triphyllum_new	9
ayavacense	9
