dentatum	57
loeseneri	9
stenocalyx	9
tiliaefolium	9
microcarpum	9
caudatum	9
ciliatum	9
hirsutum	76
sulcatum	9
fuscum	9
microphyllum	47
acutifolium	9
newsp.1	43
membranaceum	9
newsp.2	9
discolor	9
disjunctum	42
blandum	9
lautum	9
jucundum	9
stellato-tomentosum	9
alpinum	9
villosum	66
obtusatum	76
hartwegii	44
costaricanum	9
tinoides_1	42
undulatum	9
subsessile	9
tinoides_2	9
triphyllum	9
lasiophyllum	9
pichinchense	9
jamesonii	9
hallii	9
toronis	9
seemenii	9
dumatorum	9
reticulatum	9
triphyllum_new	9
ayavacense	76
