dentatum	38
loeseneri	75
stenocalyx	34
tiliaefolium	74
microcarpum	7
caudatum	7
ciliatum	7
hirsutum	7
sulcatum	65
fuscum	8
microphyllum	8
acutifolium	56
newsp.1	35
membranaceum	8
newsp.2	36
discolor	10
disjunctum	10
blandum	77
lautum	49
jucundum	57
stellato-tomentosum	65
alpinum	0
villosum	8
obtusatum	36
hartwegii	37
costaricanum	8
tinoides_1	8
undulatum	38
subsessile	8
tinoides_2	8
triphyllum	8
lasiophyllum	8
pichinchense	8
jamesonii	9
hallii	4
toronis	8
seemenii	40
dumatorum	8
reticulatum	38
triphyllum_new	8
ayavacense	8
