Iteration	Posterior	Likelihood	Prior	clado_event_probs[1]	clado_event_probs[2]	dispersal_rate	extirpation_rate	p_allopatry	p_sympatry	r_morph
52	-144.3079	-147.4558	3.147871	0.135167	0.864833	0.005764242	0.0006517963	0.8648335	0.1351665	0.3695724
53	-146.9561	-150.9362	3.980065	0.135167	0.864833	0.003861623	0.01551617	0.8648335	0.1351665	0.2733912
54	-144.068	-146.852	2.783926	0.0159057	0.984094	0.007264832	0.002933521	0.9840943	0.0159057	0.4021846
55	-145.3438	-150.6191	5.275279	0.0194235	0.980577	0.006362761	0.01054826	0.9805765	0.01942345	0.1463366
56	-144.3809	-147.7113	3.330369	0.0194235	0.980577	0.008767487	0.005016588	0.9805765	0.01942345	0.3439545
57	-148.3819	-149.6898	1.30783	0.0625506	0.937449	0.006750484	0.02698077	0.9374494	0.06255061	0.5262613
58	-145.6427	-148.0152	2.372525	0.023875	0.976125	0.005404002	0.01129799	0.976125	0.02387501	0.4368211
59	-143.2642	-146.9572	3.69301	0.023875	0.976125	0.007575448	0.0001741042	0.976125	0.02387501	0.313725
60	-144.2622	-149.0718	4.809683	0.023875	0.976125	0.009548463	0.0004040857	0.976125	0.02387501	0.1998546
61	-146.5081	-151.101	4.592914	0.023875	0.976125	0.005984907	0.02564461	0.976125	0.02387501	0.1998546
62	-146.7998	-151.3888	4.588955	0.122796	0.877204	0.0063808	0.02564461	0.8772044	0.1227956	0.1998546
63	-146.9793	-151.7815	4.802149	0.19022	0.80978	0.009701573	0.01300977	0.8097801	0.1902199	0.1878493
64	-145.037	-149.8675	4.830494	0.241517	0.758483	0.006031991	0.0007940618	0.7584828	0.2415172	0.2009
65	-149.3197	-154.032	4.712364	0.264464	0.735536	0.0118839	0.01296358	0.7355359	0.2644641	0.1946916
66	-145.2605	-147.5678	2.307302	0.147173	0.852827	0.007155126	0.0007125378	0.8528266	0.1471734	0.4521777
67	-145.1427	-148.7899	3.647134	0.171011	0.828989	0.00862053	0.0006451041	0.8289885	0.1710115	0.3167965
68	-145.6554	-149.1559	3.500485	0.118285	0.881715	0.007547312	0.01638321	0.8817152	0.1182848	0.3167965
69	-149.6969	-149.5214	-0.1755017	0.118285	0.881715	0.004565088	0.01670219	0.8817152	0.1182848	0.6870584
70	-151.9699	-150.9644	-1.00542	0.155702	0.844298	0.01136797	0.01670219	0.844298	0.155702	0.7632473
71	-146.907	-151.3572	4.450172	0.278186	0.721814	0.007228063	0.01629269	0.7218143	0.2781857	0.2222376
72	-146.539	-149.8047	3.265759	0.236765	0.763235	0.009067971	0.001602516	0.7632354	0.2367646	0.3535291
73	-144.0641	-148.2875	4.223396	0.0428172	0.957183	0.009182041	0.001602516	0.9571828	0.04281718	0.2576513
74	-144.2496	-148.5245	4.274905	0.10981	0.89019	0.004342987	0.001290644	0.8901905	0.1098095	0.2576513
75	-144.305	-148.2346	3.929567	0.116629	0.883371	0.007832434	0.00427518	0.8833712	0.1166288	0.2857112
76	-143.734	-146.8271	3.093135	0.00454633	0.995454	0.006909089	0.002802289	0.9954537	0.004546327	0.3717507
77	-146.124	-150.8872	4.763191	0.00454633	0.995454	0.008866889	0.02093649	0.9954537	0.004546327	0.1846531
78	-145.3446	-148.64	3.295419	0.0614271	0.938573	0.008866889	0.01187401	0.9385729	0.06142711	0.3404927
79	-147.2768	-152.5699	5.293196	0.238199	0.761801	0.006589472	0.01187401	0.7618007	0.2381993	0.1429924
80	-145.3303	-150.3164	4.986151	0.238199	0.761801	0.005353012	0.001650904	0.7618007	0.2381993	0.1851565
81	-143.4491	-148.4272	4.978164	0.0400957	0.959904	0.006235133	0.001567469	0.9599043	0.04009571	0.1851565
82	-145.3337	-146.9255	1.591735	0.00508096	0.994919	0.008123263	0.002942333	0.994919	0.005080957	0.5205364
83	-145.1362	-147.5687	2.432451	0.00508096	0.994919	0.006076781	0.009635338	0.994919	0.005080957	0.4318183
84	-144.2271	-147.7307	3.503547	0.0857723	0.914228	0.007108064	0.006046373	0.9142277	0.08577228	0.3272664
85	-144.0024	-148.0978	4.095409	0.0857723	0.914228	0.005619706	0.006046373	0.9142277	0.08577228	0.2695685
86	-144.5608	-149.4237	4.862829	0.0857723	0.914228	0.008707535	0.003491402	0.9142277	0.08577228	0.1922937
87	-143.6207	-148.523	4.902291	0.0590916	0.940908	0.007684067	0.0005687477	0.9409084	0.05909161	0.1922937
88	-143.7133	-146.8381	3.124754	0.0590916	0.940908	0.006009995	0.0005687477	0.9409084	0.05909161	0.3717214
89	-148.8143	-151.6714	2.857103	0.28184	0.71816	0.006009995	0.0273339	0.7181596	0.2818404	0.3717214
90	-145.8707	-150.5439	4.673249	0.277474	0.722526	0.006925427	0.004863075	0.7225263	0.2774737	0.2116621
91	-145.2339	-149.1337	3.899749	0.199865	0.800135	0.00518266	0.006562039	0.8001355	0.1998645	0.2890559
92	-146.338	-149.89	3.552033	0.199865	0.800135	0.003947114	0.006562039	0.8001355	0.1998645	0.3250631
93	-147.1077	-146.9434	-0.1643033	0.0418401	0.95816	0.008281945	0.001017982	0.9581599	0.04184012	0.6979059
94	-143.7766	-146.9798	3.203248	0.0523332	0.947667	0.007129554	0.001624444	0.9476668	0.05233319	0.3616968
95	-144.8201	-149.0374	4.21733	0.0602873	0.939713	0.007129554	0.01518003	0.9397127	0.06028727	0.246733
96	-144.4731	-148.7937	4.320626	0.0595967	0.940403	0.004692907	0.007287099	0.9404033	0.05959666	0.246733
97	-145.611	-148.7611	3.150054	0.0595967	0.940403	0.009229804	0.01186035	0.9404033	0.05959666	0.35468
98	-144.1424	-148.8721	4.729719	0.0595967	0.940403	0.008828754	0.001959105	0.9404033	0.05959666	0.2070158
99	-144.8526	-149.5827	4.730029	0.136771	0.863229	0.008797739	0.001959105	0.8632292	0.1367708	0.2070158
100	-143.8911	-147.1661	3.274952	0.0247462	0.975254	0.005782189	0.004213273	0.9752538	0.02474625	0.3532849
101	-143.4918	-148.1076	4.615769	0.0247462	0.975254	0.007471339	0.004213273	0.9752538	0.02474625	0.217514
102	-145.142	-146.9079	1.765871	0.0716259	0.928374	0.007471339	0.0004880168	0.9283741	0.07162587	0.5062291
103	-145.353	-149.4311	4.078067	0.236858	0.763142	0.007471339	0.00350182	0.7631424	0.2368576	0.2719957
104	-143.5108	-147.6376	4.12687	0.0492991	0.950701	0.007471339	0.00350182	0.9507009	0.04929905	0.2671153
105	-143.5367	-147.6565	4.119801	0.0492991	0.950701	0.007058464	0.004621614	0.9507009	0.04929905	0.2671153
106	-143.7654	-147.6965	3.931098	0.0492991	0.950701	0.008484499	0.001111309	0.9507009	0.04929905	0.2880699
107	-144.8901	-148.6594	3.769235	0.199431	0.800569	0.007707686	5.604622e-05	0.8005688	0.1994312	0.3060883
108	-146.0269	-150.0988	4.071864	0.202402	0.797598	0.00724464	0.01567866	0.7975981	0.2024019	0.2606658
109	-146.2041	-151.5119	5.30782	0.202402	0.797598	0.00828824	0.000844758	0.7975981	0.2024019	0.1508605
