Iteration	dispersal_rate	extirpation_rate	p_sympatry	r_morph
720	0.006983924	0.005899442	0.06711718	0.5506085
730	0.006713021	0.005944646	0.2151563	0.4314732
740	0.007763958	0.0005138725	0.2618024	0.2516728
750	0.005057834	0.004620997	0.2215437	0.300089
760	0.007933647	0.009268306	0.155628	0.2316879
770	0.009208175	0.01003422	0.01555805	0.3003665
780	0.005145105	0.01495621	0.03772874	0.3312993
790	0.008503942	0.005903217	0.06703463	0.2091403
800	0.004161969	0.00190018	0.1100642	0.1705085
810	0.009412923	0.003042395	0.1371702	0.2336318
820	0.006931895	0.0114249	0.03243382	0.2169911
830	0.01064077	0.00470487	0.1087603	0.2516653
840	0.005051465	0.007777578	0.04657269	0.196311
850	0.006552905	0.0009291062	0.1394732	0.3328763
860	0.009905579	0.008414214	0.04109489	0.2262822
870	0.004567092	0.03891783	0.1530587	0.2239955
880	0.008955755	0.01462728	0.06032813	0.3876333
890	0.01050173	0.02255918	0.02743375	0.1972558
900	0.005936842	0.001843403	0.08722572	0.1869212
910	0.005161465	0.0004220908	0.05068989	0.2820345
920	0.004927738	0.001716801	0.2352275	0.1813229
930	0.00864407	0.0106474	0.2213583	0.2568518
940	0.007621465	0.0122367	0.02180704	0.3336077
950	0.01131324	0.01621084	0.06887471	0.2243541
960	0.006351312	0.004265328	0.01675865	0.2391621
970	0.004911806	0.008198727	0.1547858	0.200689
980	0.005205914	0.003055362	0.3460113	0.1654351
990	0.007110052	0.001499407	0.05692238	0.218733
1000	0.007327053	0.01875602	0.1346128	0.2057005
1010	0.006208334	0.01396716	0.1653686	0.2898917
1020	0.006720604	0.004311941	0.1663551	0.2301841
1030	0.004800552	0.002675513	0.1528294	0.324069
1040	0.007899571	0.004791136	0.07086651	0.3735424
1050	0.009494137	0.004106097	0.1457692	0.3509783
1060	0.01040531	0.01373891	0.04416648	0.200261
1070	0.008746993	0.002678926	0.4213544	0.1506208
1080	0.004426991	0.01412239	0.05503139	0.3244316
1090	0.009357006	0.0001653204	0.06737173	0.2163151
1100	0.009280702	0.01425407	0.05595606	0.2025908
1110	0.006427916	0.006248453	0.1977949	0.2163416
1120	0.005000801	0.02218277	0.2068355	0.2747131
1130	0.009536152	0.009260163	0.05024607	0.1665328
1140	0.005489916	0.003431622	0.1181488	0.290987
1150	0.007301147	0.0002661592	0.003106181	0.3311978
1160	0.005361075	0.003999954	0.04351733	0.3987084
1170	0.01156673	0.01699152	0.206977	0.3948223
1180	0.005869312	0.009685085	0.2392117	0.1366748
1190	0.007539324	0.007999694	0.1061394	0.3355779
1200	0.004994075	0.004311199	0.04303643	0.5154546
1210	0.00594897	0.001779747	0.01610792	0.2492449
1220	0.006713555	0.003521597	0.0389879	0.4495176
1230	0.005635578	0.01356337	0.1867197	0.2690814
1240	0.007827096	0.005601269	0.1594423	0.3567323
1250	0.005106299	0.003200742	0.00200383	0.2791428
1260	0.007182008	0.02159804	0.02190627	0.1893506
1270	0.007884247	0.002167068	0.2170324	0.2268866
1280	0.007658259	0.002623748	0.005275589	0.3267813
1290	0.007627403	0.0009421222	0.07319625	0.2079323
1300	0.005019967	0.004033305	0.02833877	0.5185705
1310	0.006674734	0.007200473	0.1835536	0.3975068
1320	0.007675566	0.005269846	0.07053673	0.1608308
1330	0.006710584	0.0006924415	0.0154992	0.342277
1340	0.007585007	0.002594033	0.01698006	0.3374591
1350	0.01070097	0.01377774	0.04023136	0.4529156
1360	0.008274997	0.003348677	0.02168823	0.2857371
1370	0.007142326	0.01180596	0.03308873	0.3023426
1380	0.004952213	0.003853831	0.05732855	0.3998747
1390	0.00396942	0.004813018	0.2456185	0.3678858
1400	0.005144604	0.002037133	0.0163854	0.5697269
1410	0.009487711	0.001606309	0.07622689	0.2698954
1420	0.007416895	0.008111907	0.04732443	0.455759
1430	0.006946976	0.001266812	0.02228063	0.1842292
1440	0.00844163	0.006264457	0.2911985	0.1961418
1450	0.004911256	0.01491314	0.09910241	0.4610639
1460	0.005105968	0.01288997	0.05097189	0.7176969
1470	0.005874472	0.001947631	0.08963259	0.2429686
1480	0.007661398	0.008857526	0.09200714	0.3644524
1490	0.008593011	0.02206951	0.06597691	0.3981728
1500	0.005342471	0.01823906	0.2846826	0.2588377
