dentatum	8
loeseneri	8
stenocalyx	8
tiliaefolium	8
microcarpum	75
caudatum	8
ciliatum	8
hirsutum	8
sulcatum	42
fuscum	9
microphyllum	46
acutifolium	45
newsp.1	42
membranaceum	9
newsp.2	9
discolor	9
disjunctum	45
blandum	9
lautum	9
jucundum	9
stellato-tomentosum	9
alpinum	41
villosum	1
obtusatum	9
hartwegii	9
costaricanum	47
tinoides_1	9
undulatum	9
subsessile	9
tinoides_2	53
triphyllum	10
lasiophyllum	10
pichinchense	41
jamesonii	9
hallii	9
toronis	9
seemenii	9
dumatorum	9
reticulatum	12
triphyllum_new	9
ayavacense	9
