dentatum	8
loeseneri	6
stenocalyx	6
tiliaefolium	46
microcarpum	23
caudatum	6
ciliatum	25
hirsutum	6
sulcatum	1
fuscum	25
microphyllum	6
acutifolium	6
newsp.1	15
membranaceum	6
newsp.2	2
discolor	63
disjunctum	6
blandum	23
lautum	9
jucundum	6
stellato-tomentosum	33
alpinum	74
villosum	33
obtusatum	46
hartwegii	6
costaricanum	7
tinoides_1	6
undulatum	6
subsessile	39
tinoides_2	6
triphyllum	6
lasiophyllum	6
pichinchense	39
jamesonii	6
hallii	24
toronis	6
seemenii	6
dumatorum	63
reticulatum	63
triphyllum_new	39
ayavacense	6
