dentatum	53
loeseneri	8
stenocalyx	8
tiliaefolium	35
microcarpum	0
caudatum	40
ciliatum	35
hirsutum	8
sulcatum	8
fuscum	40
microphyllum	8
acutifolium	52
newsp.1	65
membranaceum	8
newsp.2	75
discolor	8
disjunctum	8
blandum	8
lautum	0
jucundum	8
stellato-tomentosum	8
alpinum	8
villosum	37
obtusatum	8
hartwegii	8
costaricanum	8
tinoides_1	8
undulatum	8
subsessile	8
tinoides_2	8
triphyllum	35
lasiophyllum	8
pichinchense	8
jamesonii	35
hallii	8
toronis	8
seemenii	8
dumatorum	8
reticulatum	35
triphyllum_new	8
ayavacense	8
