dentatum	42
loeseneri	7
stenocalyx	7
tiliaefolium	7
microcarpum	7
caudatum	7
ciliatum	7
hirsutum	7
sulcatum	28
fuscum	7
microphyllum	0
acutifolium	7
newsp.1	7
membranaceum	7
newsp.2	7
discolor	7
disjunctum	0
blandum	7
lautum	40
jucundum	7
stellato-tomentosum	7
alpinum	7
villosum	74
obtusatum	33
hartwegii	7
costaricanum	7
tinoides_1	7
undulatum	7
subsessile	7
tinoides_2	0
triphyllum	0
lasiophyllum	0
pichinchense	7
jamesonii	7
hallii	7
toronis	7
seemenii	7
dumatorum	7
reticulatum	7
triphyllum_new	7
ayavacense	7
