dentatum	5
loeseneri	9
stenocalyx	9
tiliaefolium	9
microcarpum	54
caudatum	9
ciliatum	10
hirsutum	10
sulcatum	9
fuscum	48
microphyllum	42
acutifolium	9
newsp.1	76
membranaceum	9
newsp.2	48
discolor	47
disjunctum	12
blandum	9
lautum	9
jucundum	9
stellato-tomentosum	9
alpinum	9
villosum	9
obtusatum	9
hartwegii	9
costaricanum	12
tinoides_1	9
undulatum	9
subsessile	9
tinoides_2	0
triphyllum	9
lasiophyllum	9
pichinchense	9
jamesonii	9
hallii	9
toronis	9
seemenii	9
dumatorum	9
reticulatum	9
triphyllum_new	9
ayavacense	9
