dentatum	10
loeseneri	75
stenocalyx	12
tiliaefolium	75
microcarpum	12
caudatum	12
ciliatum	72
hirsutum	12
sulcatum	12
fuscum	71
microphyllum	12
acutifolium	12
newsp.1	12
membranaceum	12
newsp.2	68
discolor	76
disjunctum	12
blandum	70
lautum	12
jucundum	12
stellato-tomentosum	12
alpinum	12
villosum	12
obtusatum	12
hartwegii	70
costaricanum	73
tinoides_1	0
undulatum	0
subsessile	0
tinoides_2	0
triphyllum	0
lasiophyllum	0
pichinchense	0
jamesonii	0
hallii	0
toronis	0
seemenii	0
dumatorum	0
reticulatum	0
triphyllum_new	0
ayavacense	0
