dentatum	34
loeseneri	1
stenocalyx	1
tiliaefolium	1
microcarpum	1
caudatum	1
ciliatum	1
hirsutum	1
sulcatum	16
fuscum	1
microphyllum	1
acutifolium	0
newsp.1	1
membranaceum	1
newsp.2	1
discolor	23
disjunctum	1
blandum	1
lautum	0
jucundum	1
stellato-tomentosum	49
alpinum	1
villosum	1
obtusatum	0
hartwegii	7
costaricanum	7
tinoides_1	7
undulatum	7
subsessile	7
tinoides_2	7
triphyllum	7
lasiophyllum	30
pichinchense	7
jamesonii	7
hallii	7
toronis	74
seemenii	7
dumatorum	7
reticulatum	28
triphyllum_new	7
ayavacense	7
