dentatum	71
loeseneri	31
stenocalyx	31
tiliaefolium	4
microcarpum	4
caudatum	2
ciliatum	4
hirsutum	4
sulcatum	71
fuscum	18
microphyllum	61
acutifolium	11
newsp.1	66
membranaceum	78
newsp.2	67
discolor	18
disjunctum	71
blandum	26
lautum	4
jucundum	31
stellato-tomentosum	4
alpinum	7
villosum	4
obtusatum	4
hartwegii	4
costaricanum	61
tinoides_1	4
undulatum	4
subsessile	4
tinoides_2	4
triphyllum	4
lasiophyllum	4
pichinchense	4
jamesonii	8
hallii	8
toronis	4
seemenii	4
dumatorum	4
reticulatum	4
triphyllum_new	4
ayavacense	4
