dentatum	78
loeseneri	2
stenocalyx	2
tiliaefolium	2
microcarpum	2
caudatum	2
ciliatum	2
hirsutum	2
sulcatum	13
fuscum	2
microphyllum	2
acutifolium	13
newsp.1	29
membranaceum	17
newsp.2	2
discolor	2
disjunctum	2
blandum	2
lautum	2
jucundum	15
stellato-tomentosum	2
alpinum	2
villosum	35
obtusatum	35
hartwegii	42
costaricanum	2
tinoides_1	2
undulatum	2
subsessile	0
tinoides_2	17
triphyllum	2
lasiophyllum	2
pichinchense	2
jamesonii	2
hallii	2
toronis	2
seemenii	10
dumatorum	10
reticulatum	10
triphyllum_new	2
ayavacense	2
