dentatum	27
loeseneri	59
stenocalyx	11
tiliaefolium	78
microcarpum	78
caudatum	11
ciliatum	59
hirsutum	11
sulcatum	11
fuscum	11
microphyllum	11
acutifolium	11
newsp.1	11
membranaceum	11
newsp.2	11
discolor	11
disjunctum	0
blandum	11
lautum	59
jucundum	11
stellato-tomentosum	11
alpinum	11
villosum	11
obtusatum	11
hartwegii	11
costaricanum	11
tinoides_1	11
undulatum	10
subsessile	10
tinoides_2	11
triphyllum	11
lasiophyllum	11
pichinchense	11
jamesonii	11
hallii	11
toronis	11
seemenii	11
dumatorum	11
reticulatum	11
triphyllum_new	11
ayavacense	11
