gbifID	species	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	year	institutionCode	collectionCode	catalogNumber	recordNumber	recordedBy	CHELSA_01	CHELSA_02	CHELSA_03	CHELSA_04	CHELSA_05	CHELSA_06	CHELSA_07	CHELSA_08	CHELSA_09	CHELSA_10	CHELSA_11	CHELSA_12	CHELSA_13	CHELSA_14	CHELSA_15	CHELSA_16	CHELSA_17	CHELSA_18	CHELSA_19	MODCF_CloudForestPrediction	MODCF_interannual	MODCF_intraannual	MODCF_meanannual	MODCF_monthlymean_01	MODCF_monthlymean_02	MODCF_monthlymean_03	MODCF_monthlymean_04	MODCF_monthlymean_05	MODCF_monthlymean_06	MODCF_monthlymean_07	MODCF_monthlymean_08	MODCF_monthlymean_09	MODCF_monthlymean_10	MODCF_monthlymean_11	MODCF_monthlymean_12	MODCF_seasonalityconcentration	MODCF_seasonality_theta	MODCF_spatialSD_1deg	elevation	slope
1895364457	hartwegii	16.431864	-92.400439	NA	1965	CNS-UT	LL	78397	NA	D. E. Breedlove; P. H. Raven	184.25296	80	564.629211	1397.520752	254.961411	113.984497	141	192.25296	166.984497	201.961411	161.25296	1101.330078	230.246689	10.116492	87.175049	630.019836	32.057938	249.085358	40.64991	0.000739	1027.237915	1916.420532	7367.719727	5228.140137	4569.243652	5371.879395	5855.024414	8484.927734	9226.573242	8923.060547	9332.005859	9446.639648	9138.21875	7274.769043	5562.359375	169.518265	2348.658447	1261.829224	1630.73938	10.455791
1895364454	hartwegii	16.527219	-92.434719	NA	1966	CNS-UT	LL	78369	NA	A. Shilom T.	170.355911	79.677956	566	1438.355957	240.355911	99.677956	140	179.355911	152.355911	188.355911	146.355911	1080.677979	222.644089	12	84	611.644104	38	238.322037	48	0.001025	994.995605	1722.611694	7588.870605	5796.825684	5380.910645	5653.812012	6421.463379	8932.540039	9621.78125	8976.53125	9172.517578	9340.584961	9102.3125	6843.879395	5822.285645	145.723221	2278.066895	1161.964355	1813.604736	2.526371
1895364452	hartwegii	16.872428	-92.476877	NA	1983	CNS-UT	TEX	78374	NA	A. Mendez T.	174	77	560	1590	242	104	138	184	166	193	148	1866	331	45	65	936	135	362	179	0.000417	1042.676636	1193.785889	6843.19873	6381.298828	5169.595215	5245.563965	5511.706543	7397.229492	8431.62793	8017.303223	7776.619629	7864.624512	7883.26416	6633.672363	5808.836914	107.117279	2368.062988	784.175293	1664.92395	10.736948
1895364444	hartwegii	16.779169	-92.551389	NA	1965	CNS-UT	LL	78368	NA	D. E. Breedlove; F. S. Kawahara	131	78	572	1509	198	61	137	142	111	148	107	1678	302	30	74	869	96	355	117	0.000948	971.688171	1295.773315	7289.162109	6438.480957	5737.615723	5872.464844	6063.143555	7836.14502	9057.727539	8526.682617	8433.168945	8848.981445	8089.805176	6757.124023	5804.65332	112.764099	2301.386719	916.716919	2479.920654	4.615039
1895364433	hartwegii	16.909608	-92.919367	NA	1971	CNS-UT	TEX	78365	NA	D. E. Breedlove; F. S. Kawahara	176.684402	78	557.438538	1621.122925	244.684402	105.684402	139	186.684402	168.684402	195.684402	150.684402	1406.308228	275.647705	26.315598	72.56147	756.311951	86.946793	256.209167	122.26239	0.000302	1019.401428	1737.869751	6598.966309	5422.702148	4881.918945	4571.865234	4272.192383	7112.067383	8635.958008	8564.413086	8337.149414	8519.101562	7845.509277	5983.21875	5039.218262	166.85704	2367.700684	1076.659912	1547.799805	9.306884
1895364431	hartwegii	16.952458	-92.564711	NA	1987	CNS-UT	TEX	78359	NA	M. Perez G.	184.610428	77	556.20813	1636.338989	252.610428	113.610428	138.784317	194.612503	176.610428	203.610428	157.612503	1793.486084	313.063416	42.765129	63.215675	874.441833	134.079712	339.54364	189.632553	0.000262	1180.665649	1333.462646	6371.650879	6133.46582	4779.731934	4614.469238	4343.056641	6348.441406	7984.29541	7676.224121	7485.824707	7932.519531	7305.785645	6434.558594	5426.160645	128	2477.537354	790.832825	1514.540894	18.146749
1895364405	hartwegii	17.159169	-92.899169	NA	1967	CNS-UT	LL	78406	NA	O. F. Clarke	170.688339	75	549.770569	1704.294434	236.688339	100.458893	137	181.688339	177.688339	189.688339	143.458893	1956.366821	321.017181	57.311657	53	896.822083	191.934967	306.099396	295.558289	0.00029	1096.091064	1213.408569	6325.377441	5710.543945	5116.071777	4847.281738	4546.283691	6902.742676	7967.484863	7143.498535	7134.384766	7660.932617	7571.851074	6057.635254	5245.048828	112.831772	2406.828857	916.225525	1722.491089	2.652815
1895364396	hartwegii	16.827781	-92.453889	NA	1965	CNS-UT	LL	78398	NA	D. E. Breedlove; F. S. Kawahara	172.559387	78	561.242249	1569.435425	240.558228	101.678764	137.99884	182.559387	164.559387	190.559387	146.678772	1441.712769	266.541595	34.243382	65.119377	730.393005	104.730141	284.554321	139.089432	0.000697	952.763611	1336.846191	7351.896973	6749.791992	5353.630371	5458.230469	5867.075195	7687.757812	8851.317383	8681.508789	8468.195312	8873.535156	8380.480469	7370.371582	6481.842285	115.789879	2430.422119	794.789856	1721.080322	9.617117
1895364381	hartwegii	16.47	-92.41	NA	1987	CNS-UT	TEX	78376	NA	M. Gomez L.	176	80	566	1410	247	106	141	185	158	194	153	1098	229	11	85	627	35	244	44	0.000617	1001	2050	7048	5102	4227	4295	5471	8107	9162	8852	9024	9438	8833	6617	5447	190	2361	1233	1728.561646	1.860648
1895364375	hartwegii	16.871669	-92.476939	NA	1981	CNS-UT	TEX	78378	NA	D. E. Breedlove; F. S. Kawahara	174	77	560	1590	242	104	138	184	166	193	148	1866	331	45	65	936	135	362	179	0.000417	1042	1203	6862	6401	5158	5256	5519	7411	8441	8066	7814	7904	7892	6667	5819	108	2370	785	1678.151733	8.13433
