gbifID	species	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters	year	institutionCode	collectionCode	catalogNumber	recordNumber	recordedBy
1930477570	alpinum	-77.716857	17.974625	4471.57	1907	NY	NY	1688454	1093	N. L. Britton
1930116509	alpinum	-77.53155	18.035294	2941.57	1908	NY	NY	1688456	3131	N. L. Britton
NA	alpinum	-77.2592	18.1981	0	NA	Yale Peabody Museum	YU.254792	7060	3919	Patrick W. Sweeney
NA	alpinum	-77.39187	18.1971	0	NA	Yale Peabody Museum	YU.254797	7065	3924	Patrick W. Sweeney
NA	alpinum	-76.59531	18.0513	0	NA	Yale Peabody Museum	YU.254805	7073	3933	Patrick W. Sweeney
1930105164	alpinum	-77.11766	18.20731	872	1905	NY	NY	1688502	8978	W. H. Harris
1928787694	alpinum	-76.652328	18.075675	1561.57	1906	NY	NY	1688460	9197	W. H. Harris
1928614798	alpinum	-77.402028	18.169628	2221.57	1912	NY	NY	1688449	11196	W. H. Harris
1261256229	ayavacense	-78.788611	-6.963611	NA	1977	MO	MO	545382	NA	Abundio Sagastegui A.|E. Alvitez L.|Jose Mostacero L.
1261256251	ayavacense	-77.83333	-7.35	NA	1980	MO	MO	545412	NA	Abundio Sagastegui A.|et al.
1261255625	ayavacense	-78.366667	-3.45	NA	1993	MO	MO	544845	NA	Alwyn H. Gentry
1261255825	ayavacense	-77.833333	-5.833333	NA	1988	MO	MO	545017	NA	Alwyn H. Gentry|Camilo Diaz S.|C. Blaney
1261255843	ayavacense	-79	-6.46666	NA	1988	MO	MO	545033	NA	Alwyn H. Gentry|Camilo Diaz S.|C. Blaney
1261255611	ayavacense	-78.91666	-6.5	NA	1991	MO	MO	544839	NA	Alwyn H. Gentry|Camilo Diaz S.|Rosa Ortiz
1257657640	ayavacense	-77.898983	-6.922283	NA	2010	MO	MO	100307953	NA	Ashley Glenn|Rainer W. Bussmann|Carlos Vega Ocana|G. Chait|M. Monigatti
47860971	ayavacense	-79.133	-4.45	NA	1985	AAU	Herbarium	B.Ollgaard58375	NA	B.  Ollgaard
1259052549	ayavacense	-79.13333	-4.45	NA	1985	MO	MO	1802200	NA	Benjamin Ollgaard|Simon Laegaard|Karsten Thomsen|J. Korning|Thea Illum
1259052642	ayavacense	-79.81666	-4.31666	NA	1996	MO	MO	1802204	NA	Bente B. Klitgaard|Bertil Stahl|Pablo Lozano|Tania Delgado|F. Elizalde|H. Alejandro|F. Tinitana
1259052758	ayavacense	-79.73333	-3.65	NA	1995	MO	MO	1802211	NA	Bolivar Merino|H. Borgtoft Pedersen|Pablo Lozano|Finn Borchsenius
1258781320	ayavacense	-79.31333	-5.655	NA	1998	MO	MO	1551305	NA	Camilo Diaz S.|et al.
1261255960	ayavacense	-77.93333	-5.86666	NA	1984	MO	MO	545155	NA	David N. Smith
1261255914	ayavacense	-78.63333	-6.46666	NA	1983	MO	MO	545103	NA	David N. Smith|Rodolfo Vasquez
2806569588	ayavacense	-79.624167	-3.501389	NA	2015	MO	MO	101195769	NA	Diana Fernandez|et al.
1259052857	ayavacense	-79.38333	-3.53333	NA	1993	MO	MO	1802263	NA	Gunnar Wilhelm Harling|Bertil Stahl
1259052803	ayavacense	-79.6	-3.45	NA	1996	MO	MO	1802305	NA	Gwilym P. Lewis
1258450439	ayavacense	-77.91666	-5.88333	NA	1998	MO	MO	1240064	NA	H. van der Werff|Bruce Gray|Rodolfo Vasquez|Rocio Rojas
1258450823	ayavacense	-77.96305	-5.83638	NA	1998	MO	MO	1240443	NA	H. van der Werff|Bruce Gray|Rodolfo Vasquez|Rocio Rojas
1836719150	ayavacense	-79.53	-3.73	NA	2001	US	Botany	3562347	4105	H. Vargas
1836722519	ayavacense	-79.95	-4.1	NA	2001	US	Botany	3562340	4114	H. Vargas
1836737545	ayavacense	-79.95	-4.08	NA	2001	US	Botany	3562342	4115	H. Vargas
1836736413	ayavacense	-79.93	-4.08	NA	2001	US	Botany	3562334	4119	H. Vargas
1259052255	ayavacense	-79.533333	-3.733333	NA	2001	MO	MO	1802285	NA	Homero Vargas
1259052827	ayavacense	-79.95	-4.083333	NA	2001	MO	MO	1802306	NA	Homero Vargas
1259052853	ayavacense	-79.95	-4.08333	NA	2001	MO	MO	1802307	NA	Homero Vargas
1259052980	ayavacense	-79.933333	-4.083333	NA	2001	MO	MO	1802311	NA	Homero Vargas
123019666	ayavacense	-78.666667	-5.320833	NA	1999	FTG	Herbarium	133933	NA	J. Campos
47861375	ayavacense	-79.166	-4.466	NA	1989	AAU	Herbarium	J.E.Madsen86681	NA	J.E.  Madsen
1231210417	ayavacense	-78.85	-6.36667	NA	1878	W	Herbarium W	1891-0004344	NA	"Jelski,C. von"
1259052713	ayavacense	-79.16666	-4.46666	NA	1989	MO	MO	1802431	NA	Jens E. Madsen
1258412604	ayavacense	-78.35138	-6.15194	NA	1996	MO	MO	1205445	NA	Jose Campos de la Cruz|et al.
1258531318	ayavacense	-78.33416	-6.13472	NA	1997	MO	MO	1315457	NA	Jose Campos de la Cruz|et al.
1258782233	ayavacense	-79.26666	-5.68055	NA	1998	MO	MO	1552550	NA	Jose Campos de la Cruz|et al.
1258782485	ayavacense	-78.88361	-4.96666	NA	1998	MO	MO	1553338	NA	Jose Campos de la Cruz|et al.
1258782832	ayavacense	-78.66666	-5.32083	NA	1999	MO	MO	1553653	NA	Jose Campos de la Cruz|et al.
1258783107	ayavacense	-78.66805	-5.32166	NA	1999	MO	MO	1553663	NA	Jose Campos de la Cruz|et al.
1258399202	ayavacense	-78.81666	-5.41666	NA	1996	MO	MO	1193216	NA	Jose Campos de la Cruz|M. Lopez M.
1258399155	ayavacense	-78.83333	-5.26666	NA	1996	MO	MO	1193169	NA	Jose Campos de la Cruz|M. Vazquez T.
1259053149	ayavacense	-79.58333	-3.71666	NA	1943	MO	MO	1802450	NA	Julian A. Steyermark
1261012626	ayavacense	-79.066667	-3.966667	NA	2000	MO	MO	3580675	NA	Jurgen Homeier
47861683	ayavacense	-79.333	-3.683	NA	1989	AAU	Herbarium	L.Ellemann66860	NA	L.  Ellemann
1259971096	ayavacense	-79.33333	-3.68333	NA	1989	MO	MO	2636315	NA	L. Ellemann|Jens E. Madsen
1261256277	ayavacense	-78.91638	-7.02444	NA	1994	MO	MO	545435	NA	Mary Merello|et al.
1261256025	ayavacense	-79.894722	-4.056667	NA	1994	MO	MO	545201	NA	P.M. Jorgensen|Carmen Ulloa|Homero Vargas|Abendano
1261256040	ayavacense	-79.951667	-4.093611	NA	1994	MO	MO	545208	NA	P.M. Jorgensen|Carmen Ulloa|Homero Vargas|Abendano
2273126914	ayavacense	-79.78874	-4.68558	NA	2019	Yale Peabody Museum	YU.254890	NA	3999	"Patrick Sweeney, Michael Donoghue, Erika Edwards, Malu Ore"
2273126919	ayavacense	-79.78859	-4.68169	NA	2019	Yale Peabody Museum	YU.254891	NA	4000	"Patrick Sweeney, Michael Donoghue, Erika Edwards, Malu Ore"
2273126901	ayavacense	-79.78886	-4.67747	NA	2019	Yale Peabody Museum	YU.254892	NA	4001	"Patrick Sweeney, Michael Donoghue, Erika Edwards, Malu Ore"
2273126927	ayavacense	-79.73616	-4.65169	NA	2019	Yale Peabody Museum	YU.254893	NA	4002	"Patrick Sweeney, Michael Donoghue, Erika Edwards, Malu Ore"
2273126924	ayavacense	-79.73619	-4.65169	NA	2019	Yale Peabody Museum	YU.254896	NA	4005	"Patrick Sweeney, Michael Donoghue, Erika Edwards, Malu Ore"
2273126905	ayavacense	-79.47033	-5.11081	NA	2019	Yale Peabody Museum	YU.254900	NA	4009	"Patrick Sweeney, Michael Donoghue, Erika Edwards, Malu Ore"
2273126907	ayavacense	-79.29032	-5.32408	NA	2019	Yale Peabody Museum	YU.254904	NA	4013	"Patrick Sweeney, Michael Donoghue, Erika Edwards, Malu Ore"
2273126916	ayavacense	-79.31014	-5.33505	NA	2019	Yale Peabody Museum	YU.254906	NA	4015	"Patrick Sweeney, Michael Donoghue, Erika Edwards, Malu Ore"
2273126915	ayavacense	-79.5148	-5.31955	NA	2019	Yale Peabody Museum	YU.254910	NA	4019	"Patrick Sweeney, Michael Donoghue, Erika Edwards, Malu Ore"
NA	ayavacense	-79.2598	-3.99992	NA	NA	Yale Peabody Museum	YU.100315	64	1684	Patrick W. Sweeney
1260654090	ayavacense	-79.596667	-4.492667	NA	1996	MO	MO	3255716	Culquicondor F. 668	R. Culquicondor F.|L. Patino C.
1258316172	ayavacense	-78.5	-5.36666	NA	1996	MO	MO	1105229	NA	Rodolfo Vasquez|et al.
1258373874	ayavacense	-78.3625	-6.07638	NA	1996	MO	MO	1160103	NA	Rodolfo Vasquez|Rocio Rojas
