gbifID	species	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters	year	institutionCode	collectionCode	catalogNumber	recordNumber	recordedBy	CHELSA_01	CHELSA_02	CHELSA_03	CHELSA_04	CHELSA_05	CHELSA_06	CHELSA_07	CHELSA_08	CHELSA_09	CHELSA_10	CHELSA_11	CHELSA_12	CHELSA_13	CHELSA_14	CHELSA_15	CHELSA_16	CHELSA_17	CHELSA_18	CHELSA_19	region	elevation
NA	acutifolium	-96.51453	17.56257	NA	NA	Yale Peabody Museum	YU	NA	Edwards_647	Erika J. Edwards	11.2986328	8.4	54.0736572	174.2619263	18.6992035	3.2740017	15.5005707	12.6986328	10.374572	13.2986328	8.3980629	2268.775391	401.009247	41.363857	75.252014	1154.459839	130.858978	814.662842	193.5354	Oax	2767.776367
NA	acutifolium	-96.33334	17.27384	NA	NA	Yale Peabody Museum	YU	NA	Edwards_648	Erika J. Edwards	12.4873619	8.4805237	54.2289307	169.4950684	20.006839	4.3873623	15.6	13.806839	10.7857536	14.4389526	9.6873619	2038.434082	350.9086	44.270943	72.496101	1024.844971	135.366928	286.738617	174.6315	Oax	2583.01416
2629665620	acutifolium	-96.528611	17.649444	NA	1995	INECOL	XAL	107915	NA	G. Ibarra-Manriquez; A. Rincon G.; C. Gallardo H.; E.A. Perez-Garcia; J. Meave del C.	13.0978882	8.3	53.4704224	178.3599854	20.5428879	5.0062263	15.5404129	14.3062256	12.1016403	15.1062256	10.1062263	3096.134766	559.208557	54.541725	76	1597.62561	175.029312	1091.550415	270.346008	Oax	2407.7229
2626956382	acutifolium	-96.500035	17.600713	NA	1972	DAV	Herbarium	NA	17481	Grady L. Webster; Gary J. Breckon & Steven P. Lynch	15.0482544	8.3	53.0650513	179.9932495	22.5985107	6.9482544	15.691095	16.4482544	14.1482544	17.0985107	12.067643	2871.524658	517.429199	51.382656	76.60228	1488.920654	163.455917	829.263367	242.169373	Oax	2029.360229
2807658073	acutifolium	-96.3	17.25	NA	1969	TEX	TEX	78285	NA	Grady L. Webster|Gary Breckon	13.076593	8.4233566	54.0300415	169.7616455	20.6249222	4.9765934	15.6483276	14.376593	10.7765938	15.0249222	10.2032928	1890.457275	329.134277	40.167149	73.483284	968.836121	123.501442	276.0336	155.334732	Oax	2457
1259441550	acutifolium	-96.5	17.6	NA	1972	MO	MO	2156166	Webster 17481	Grady L. Webster|Gary J. Breckon|Steven P. Lynch	14.9404465	8.3	53.0898621	179.8305786	22.4905029	6.8404465	15.6783707	16.3404465	14.0404465	16.9905029	11.9638031	2879.931885	518.294373	51.466015	76.516716	1491.21814	163.881317	859.615234	243.512848	Oax	2044
2629505551	acutifolium	-96.546944	17.657778	NA	1995	INECOL	XAL	107916	NA	J. Meave del C.; C. Gallardo H.; N. Velazquez R.; R. Santiago H.	13.4738831	8.3	53.4626465	178.6948364	20.9802948	5.3738838	15.5514191	14.7253021	12.5253021	15.5253021	10.4791306	3066.599609	555.068726	53.655373	77	1588.562378	171.299622	1086.7677	264.412964	Oax	2382.831055
1260440194	acutifolium	-96.54694	17.65777	NA	1995	MO	MO	3062252	Meave 1678	Jorge A. Meave|Claudia Gallardo Hernandez|Noe Velazquez R.|R. Santiago H.	13.4727936	8.3	53.4629028	178.6933228	20.9791885	5.3727932	15.5513077	14.7241013	12.5241005	15.5241013	10.4780075	3066.541504	555.0578	53.654236	77	1588.531006	171.295731	1086.745728	264.409821	Oax	2383.054688
1259703043	acutifolium	-96.03333	17.25	NA	1987	MO	MO	2393835	Rivera Reyes 0856	Jose Rivera Reyes|Gary J. Martin	16.543335	8.1	52.0500183	178.9500244	24.1683258	8.5433357	15.6249908	17.895047	15.6683258	18.743335	13.5700562	2625.772461	480.380127	63.749313	71.966171	1370.571777	193.782333	351.828857	256.451263	Oax	1765.198242
NA	acutifolium	-96.04	17.259	NA	NA	Yale Peabody Museum	YU	NA	MJD_008_tuton_111816	Michael J. Donoghue	15.2660217	8.1	52.344635	177.2588135	22.8063507	7.3087898	15.5403275	16.6087891	14.3660217	17.3949265	12.3256943	2926.864014	530.424683	71.201416	70.806564	1509.154785	218.249756	385.425964	297.346863	Oax	2004.796021
NA	acutifolium	-96.056933	17.179217	NA	NA	Yale Peabody Museum	YU	NA	huitacut climate station	NA	11.7291176	8.2	53.6223877	169.5158325	19.1306763	3.7622013	15.3691925	13.0306763	10.7983101	13.6313934	8.9291176	3007.86499	536.882935	74.39225	69	1517.487671	228.183929	1031.052002	316.212952	Oax	2674.70874
NA	acutifolium	-96.514249	17.585294	NA	NA	Yale Peabody Museum	YU	NA	mirador_acut climate station	NA	10.785743	8.3393265	54.1656189	174.478186	18.1905334	2.7809519	15.4047913	12.185743	9.7905334	12.785743	7.885743	2635.290283	470.274658	47.876568	76.047905	1354.609375	151.802185	955.997803	221.907211	Oax	2890.817871
NA	acutifolium	-96.517424	17.5854	0	NA	Yale Peabody Museum	YU.101625	6954	3050	Patrick W. Sweeney	10.9440399	8.3674362	54.1494507	174.5247314	18.3575485	2.9305305	15.4135086	12.3440399	9.9575493	12.9440399	8.0440399	2544.621582	455.285034	46.671825	76.135094	1312.624878	147.057678	928.360413	212.011734	Oax	2848.147949
NA	acutifolium	-96.518318	17.5858	0	NA	Yale Peabody Museum	YU.101626	6955	3051	Patrick W. Sweeney	10.9388268	8.3741112	54.1557495	174.496936	18.35159	2.9260647	15.4127625	12.3388268	9.9515892	12.9388275	8.0388268	2526.267578	452.290436	46.453453	76.127625	1304.259399	146.128723	922.904602	209.950546	Oax	2845.318604
NA	acutifolium	-96.514372	17.5634	0	NA	Yale Peabody Museum	YU.101634	6963	3059	Patrick W. Sweeney	11.3494522	8.4	54.0615479	174.3504639	18.7520462	3.3187805	15.502594	12.7494522	10.4213737	13.3494522	8.446859	2282.108887	403.612274	41.599705	75.332649	1162.132935	131.565247	820.28656	194.53125	Oax	2757.549072
NA	acutifolium	-96.356326	17.2658	0	NA	Yale Peabody Museum	YU.101635	6964	3060	Patrick W. Sweeney	11.5487709	8.5	54.5497375	167.7625854	19.0487717	3.4487709	15.5687332	12.8487717	9.2942749	13.4487717	8.7487709	1859.158936	319.622681	38.138107	73.142365	942.217163	117.171906	474.966492	150.199844	Oax	2739.441406
1893400521	acutifolium	-96.508333	17.425	NA	1984	ENCB-IPN	ENCB	51690	NA	R. Fernandez N.	11.8965683	8.5	54.4316711	170.5100708	19.3949493	3.7466244	15.6483246	13.0232697	11.0466248	13.8466248	9.0466248	1394.861206	244.638153	26.100452	76.483253	715.6474	79.568367	385.837616	105.185593	Oax	2668.759521
1894693850	acutifolium	-96	17.133333	NA	1987	ECOSUR	ECO-CH-H	12976	NA	R. Torres C.; L. Cortes A.	10.9086456	8.2	53.7915955	167.5687134	18.3086456	3.008646	15.2516708	12.2585899	9.9585899	12.8585907	8.1819489	2870.689453	524.282288	70.016151	70.516708	1476.547485	212.531738	836.141235	292.231354	Oax	2793.504639
1895353024	acutifolium	-96.027273	17.145275	NA	1987	CNS-UT	TEX	78284	NA	R. Torres C.; L. Cortes A.	11.8807426	8.2	53.5832397	168.7949219	19.2613754	3.9089386	15.3756058	13.1845444	10.9575745	13.7857712	9.0857704	2837.284424	513.413696	70.10537	68.961983	1427.263916	216.303833	526.087585	306.459473	Oax	2556.440186
2807309456	acutifolium	-96	17.13333	NA	1987	TEX	TEX	78284	NA	Rafael Torres Colin|Luis Cortes A.	10.9084068	8.2	53.7916687	167.5682861	18.3084061	3.0084066	15.2516708	12.2583519	9.9583519	12.8583527	8.1817284	2870.687012	524.281189	70.016159	70.516708	1476.544189	212.531784	836.255066	292.231567	Oax	2793.545166
1259699987	acutifolium	-96.35	17.61666	NA	1989	MO	MO	2391296	Lopez Luna 0486	Ricardo Lopez Luna|Gary J. Martin	18.9663315	8.1	51.3763672	188.8168335	26.6664093	10.8663307	15.8000793	20.3913437	18.0664093	21.2397522	15.8396729	3268.791016	579.536438	60.99921	74.516708	1660.362305	198.495529	373.775909	303.65448	Oax	1371.975952
1146731518	acutifolium	-96.517424	17.585373	NA	2015	Yale Peabody Museum	YU	NA	3050	"Sweeney, P. W., Michael Donoghue, Erika Edwards, Deren Eaton, Mark Olson"	10.9471962	8.3675743	54.1487549	174.5272339	18.3608917	2.9335009	15.4136948	12.3471962	9.9608917	12.9471954	8.0471962	2544.117676	455.197968	46.663483	76.136955	1312.379883	147.029404	928.196899	211.961685	Oax	2847.590576
1146731527	acutifolium	-96.518318	17.585784	NA	2015	Yale Peabody Museum	YU	NA	3051	"Sweeney, P. W., Michael Donoghue, Erika Edwards, Deren Eaton, Mark Olson"	10.9409035	8.3741722	54.1552917	174.4986328	18.3537964	2.9280102	15.4128937	12.3409035	9.9537964	12.9409027	8.0409035	2525.960449	452.237823	46.448303	76.128929	1304.111084	146.111359	922.805054	209.919662	Oax	2844.939453
1146731521	acutifolium	-96.514372	17.563383	NA	2015	Yale Peabody Museum	YU	NA	3059	"Sweeney, P. W., Michael Donoghue, Erika Edwards, Deren Eaton, Mark Olson"	11.3480927	8.4	54.0618347	174.3484131	18.7506439	3.3175827	15.5025513	12.7480927	10.4201332	13.3480927	8.4455421	2281.889893	403.566956	41.596046	75.330612	1161.998901	131.554703	820.18811	194.517212	Oax	2757.794922
1146731550	acutifolium	-96.356326	17.265846	NA	2015	Yale Peabody Museum	YU	NA	3060	"Sweeney, P. W., Michael Donoghue, Erika Edwards, Deren Eaton, Mark Olson"	11.547316	8.5	54.5497498	167.7626465	19.047316	3.4473156	15.5683151	12.847316	9.2931038	13.447316	8.747316	1859.56189	319.687744	38.153328	73.141029	942.39032	117.217567	476.293854	150.252365	Oax	2739.847168
1930101844	alpinum	-76.655685	18.070727	1431.57	1906	NY	NY	1688451	s.n.	F. Shreve	18.8307358	2.0165483	43.6682251	87.7114929	21.1304047	16.4141876	4.6996696	19.5138565	17.7138565	19.9138565	17.5306702	2103.514648	353.675171	77.1838	42.992085	928.861511	245.228348	481.733398	288.589508	JM_CU	1202.216553
1930917286	alpinum	-77.106392	18.205978	1316.57	1906	NY	NY	1688455	758	N. L. Britton	22.1492966	2.6191729	47.1399689	96.1667786	24.8492966	19.2492966	5.6	22.7492966	20.9492966	23.3492966	20.7492966	2034.298462	326.154785	88.074844	39.941406	856.682129	265.224518	430.553467	293.708923	JM_CU	677.694519
1930477570	alpinum	-77.716857	17.974625	4471.57	1907	NY	NY	1688454	1093	N. L. Britton	23.7691788	2.5	45.5679504	97.0552795	26.3959167	20.9453033	5.5	24.3959167	22.3453033	24.9959167	22.3453033	1926.632812	283.349121	64.995567	43	790.017395	203.213211	556.319824	203.213211	JM_CU	660.341248
1930116509	alpinum	-77.53155	18.035294	2941.57	1908	NY	NY	1688456	3131	N. L. Britton	22.8347	2.7	47.6767426	96.195874	25.6280212	19.9280212	5.7	23.4280212	21.4347	24.0347	21.4347	2207.984863	349.911346	75.719788	44.751999	962.766296	237.226151	584.326721	237.226151	JM_CU	680.170288
NA	alpinum	-77.2592	18.1981	0	NA	Yale Peabody Museum	YU.254792	7060	3919	Patrick W. Sweeney	22.8174393	2.7	47.5422577	97.6931213	25.6174408	19.8174393	5.8	23.4174393	21.6174393	24.0174393	21.4174393	1864.154907	300.476624	77.815758	39.88084	802.907898	241.208954	407.033386	254.730972	JM_CU	705.911987
NA	alpinum	-77.39187	18.1971	0	NA	Yale Peabody Museum	YU.254797	7065	3924	Patrick W. Sweeney	22.5945084	2.7	47.3901581	97.6144531	25.3862015	19.6452759	5.7422028	23.1945084	21.1945084	23.8452759	21.1945084	1807.60083	289.677765	72.361618	40.662563	783.583435	234.240799	415.175995	234.240799	JM_CU	747.777954
NA	alpinum	-76.59531	18.0513	0	NA	Yale Peabody Museum	YU.254805	7073	3933	Patrick W. Sweeney	17.0609161	1.9	43.6544678	84.2143921	19.1963913	14.7635193	4.3973976	17.6989944	15.9609161	18.0583145	15.7936447	2455.238037	385.779236	92.095856	39.353306	1013.897888	296.792023	558.643494	358.845154	JM_CU	1741.897827
1930105164	alpinum	-77.11766	18.20731	872	1905	NY	NY	1688502	8978	W. H. Harris	21.8097412	2.684341	47.3292908	95.6511597	24.5097412	18.9097412	5.6	22.4097412	20.6097412	23.0097412	20.4097412	2026.763306	323.178162	88.397514	39.606083	848.527344	265.827393	426.940857	294.490997	JM_CU	825.865784
1928787694	alpinum	-76.652328	18.075675	1561.57	1906	NY	NY	1688460	9197	W. H. Harris	18.5727417	2	43.8250488	87.0995056	20.8176086	16.1631927	4.6402283	19.2176086	17.4176086	19.603421	17.2631927	2157.241943	353.911041	80.027802	41.567207	930.455078	255.420715	491.51825	303.432648	JM_CU	1325.946411
1928614798	alpinum	-77.402028	18.169628	2221.57	1912	NY	NY	1688449	11196	W. H. Harris	24.297699	2.7127922	46.9366302	99.997699	27.1343292	21.2343292	5.836631	24.897699	22.8343292	25.5343292	22.8343292	1524.747803	253.282898	55.348328	46.238388	701.296875	176.044983	359.298187	176.044983	JM_CU	433.893768
1261256229	ayavacense	-78.788611	-6.963611	NA	1977	MO	MO	545382	NA	Abundio Sagastegui A.|E. Alvitez L.|Jose Mostacero L.	12.4368362	8.8	72.5233215	21.3869766	18.3368362	6.2381958	12.0986404	12.5381958	11.9587982	12.6368362	11.9587982	722.107422	140.20105	11.219612	60.116615	376.827728	41.658825	180.016464	41.658825	sEC_nPE	2942.573486
1261256251	ayavacense	-77.83333	-7.35	NA	1980	MO	MO	545412	NA	Abundio Sagastegui A.|et al.	22.3016541	8.2482887	65.0483276	46.0618164	28.4766632	15.8016541	12.7	22.2016541	21.9016541	22.9766632	21.4016541	538.738342	91.56443	7.732803	61	259.97702	24.698572	136.48024	27.94849	sEC_nPE	1371.575562
1261255625	ayavacense	-78.366667	-3.45	NA	1993	MO	MO	544845	NA	Alwyn H. Gentry	14.9199158	7	63.6	66.2914978	20.4199158	9.4199158	11	13.7199158	15.4199158	15.493219	13.7199158	2643.396484	291.585022	162.250458	19	854.721741	509.203613	568.285583	854.721741	sEC_nPE	949.749512
1261255825	ayavacense	-77.833333	-5.833333	NA	1988	MO	MO	545017	NA	Alwyn H. Gentry|Camilo Diaz S.|C. Blaney	16.2752457	7.1	65.1499451	63.9451904	21.3752457	10.4253014	10.9483246	16.4985977	15.3502731	16.9253006	15.0502731	845.814758	123.816315	32.483253	33.966496	330.482452	109.44976	239.048904	114.683289	sEC_nPE	1390.750366
1261255843	ayavacense	-79	-6.46666	NA	1988	MO	MO	545033	NA	Alwyn H. Gentry|Camilo Diaz S.|C. Blaney	15.4900543	8.8	73.246637	29.796814	21.2667358	9.2399956	12	15.615065	14.8900543	15.815065	14.8900543	823.437561	159.767578	25.967361	54.716465	409.135193	85.867859	171.435715	85.867859	sEC_nPE	2162.786377
1261255611	ayavacense	-78.91666	-6.5	NA	1991	MO	MO	544839	NA	Alwyn H. Gentry|Camilo Diaz S.|Rosa Ortiz	15.7773193	8.9	72.4698364	29.4301178	21.6773193	9.4523079	12.2267403	15.8523071	15.1773193	16.0523071	15.1773193	1011.74762	174.657425	30.732597	47.500584	455.110321	101.413681	246.196289	101.413681	sEC_nPE	2119.99292
1257657640	ayavacense	-77.898983	-6.922283	NA	2010	MO	MO	100307953	NA	Ashley Glenn|Rainer W. Bussmann|Carlos Vega Ocana|G. Chait|M. Monigatti	13.3809036	8.3	66.3304443	47.608963	19.3809036	6.817028	12.5056808	13.4170273	12.8113464	13.9113464	12.4113472	823.59491	121.668777	24.899553	48	349.411224	75.059906	214.106644	78.42115	sEC_nPE	2872.061279
47860971	ayavacense	-79.133	-4.45	NA	1985	AAU	Herbarium	B.Ollgaard58375	NA	B.  Ollgaard	13.9943665	7.7	66.4773132	51.0210541	19.9500366	8.3943657	11.5	13.9943665	13.3943665	14.7500366	13.0943665	1187.880493	203.538971	46.449265	46.712341	569.986816	152.965302	245.921402	185.643616	sEC_nPE	2377.149902
1259052549	ayavacense	-79.13333	-4.45	NA	1985	MO	MO	1802200	NA	Benjamin Ollgaard|Simon Laegaard|Karsten Thomsen|J. Korning|Thea Illum	13.9273102	7.7	66.4931519	50.934198	19.8790222	8.3273102	11.5	13.9273102	13.3273102	14.6790222	13.0273102	1194.772095	204.739487	46.665077	46.732803	573.353455	153.71109	247.337738	186.625671	sEC_nPE	2374.279053
1259052642	ayavacense	-79.81666	-4.31666	NA	1996	MO	MO	1802204	NA	Bente B. Klitgaard|Bertil Stahl|Pablo Lozano|Tania Delgado|F. Elizalde|H. Alejandro|F. Tinitana	17.077095	8.2	69.3482483	24.2534424	23.1271561	11.3521248	11.8	17.077095	16.877095	17.477095	16.6521255	1029.159302	285.658386	5.482485	103.035019	760.458923	27.482485	75.893715	32.964962	sEC_nPE	1514.252319
1259052758	ayavacense	-79.73333	-3.65	NA	1995	MO	MO	1802211	NA	Bolivar Merino|H. Borgtoft Pedersen|Pablo Lozano|Finn Borchsenius	20.7615204	7.2	69.7267212	23.0662796	26.1347992	15.7348007	10.3483292	21.0114624	20.6348007	21.1348007	20.5348007	1109.238647	234.800049	12.283334	87.716667	693.917236	38.350574	567.634033	203.635864	sEC_nPE	1248.549561
1258781320	ayavacense	-79.31333	-5.655	NA	1998	MO	MO	1551305	NA	Camilo Diaz S.|et al.	18.4304779	8.6	71.909021	38.7266205	24.3152405	12.3228386	12	18.422879	17.9152405	18.8304779	17.7152405	522.141968	96.153999	12	60.173489	273.289337	36	158.192719	43.917114	sEC_nPE	1925.489746
1261255960	ayavacense	-77.93333	-5.86666	NA	1984	MO	MO	545155	NA	David N. Smith	15.4863907	7.3	65.5266418	63.9632507	20.6096893	9.4863907	11.2	15.6863907	14.4863907	16.0863907	14.1863907	916.417786	141.571289	33.888596	37	374.5065	111.735031	252.270111	120.984535	sEC_nPE	1773.914551
1261255914	ayavacense	-78.63333	-6.46666	NA	1983	MO	MO	545103	NA	David N. Smith|Rodolfo Vasquez	14.6655609	8.9	69.9464783	38.2854767	20.8655609	8.1655602	12.7	14.6655609	14.2655609	15.1655609	13.9138092	1029.951782	151.637238	29.180653	45	412.799927	92.007935	342.093811	94.257828	sEC_nPE	2501.15625
2806569588	ayavacense	-79.624167	-3.501389	NA	2015	MO	MO	101195769	NA	Diana Fernandez|et al.	8.7439919	7.1865822	70.2	22.3784149	13.9056595	3.7190769	10.2	9.0056595	8.5439919	9.1439919	8.4439919	1169.726807	221.02919	22.16577	75.083382	659.170959	70.497307	559.555115	95.313049	sEC_nPE	3042.399902
1259052857	ayavacense	-79.38333	-3.53333	NA	1993	MO	MO	1802263	NA	Gunnar Wilhelm Harling|Bertil Stahl	11.2228455	7.6	69.350061	23.0801041	16.8478165	5.8727871	11	11.3478165	10.9228455	11.4228455	10.7478165	1018.533081	172.302826	36.267418	55.482883	489.407898	114.534851	486.804657	140.750336	sEC_nPE	2942.215088
1259052803	ayavacense	-79.6	-3.45	NA	1996	MO	MO	1802305	NA	Gwilym P. Lewis	11.551709	7.1	70.2233582	22.7216293	16.7000366	6.551709	10.1516716	11.8000374	11.3750656	11.9000374	11.3000374	1192.365356	226.466003	26.066853	73.200134	674.364563	79.966988	551.433411	103.283562	sEC_nPE	2880
1258450439	ayavacense	-77.91666	-5.88333	NA	1998	MO	MO	1240064	NA	H. van der Werff|Bruce Gray|Rodolfo Vasquez|Rocio Rojas	15.6202866	7.3	65.4516296	63.9754578	20.8202866	9.6202858	11.2	15.8202866	14.6685349	16.2935257	14.3685349	818.822571	125.150505	31.282892	35.750504	330.919525	101.848679	221.640289	111.614876	sEC_nPE	1582.112061
1258450823	ayavacense	-77.96305	-5.83638	NA	1998	MO	MO	1240443	NA	H. van der Werff|Bruce Gray|Rodolfo Vasquez|Rocio Rojas	15.0529541	7.3	65.4	64.1813599	20.2529541	9.0680656	11.2	15.2529541	14.1529541	15.7529541	13.8529541	1116.496094	175.639633	44.113464	35.848892	459.850525	143.735962	289.697937	157.590073	sEC_nPE	1921.217285
1836719150	ayavacense	-79.53	-3.73	NA	2001	US	Botany	3562347	4105	H. Vargas	19.1402008	7.7	68.7916687	24.8596909	25.1242371	13.9249313	11.1923653	19.2242371	19.0402008	19.5402008	18.8242371	908.653564	174.750137	14	75.083282	517.333679	44.916714	110.736267	60.750145	sEC_nPE	1529.699951
1836722519	ayavacense	-79.95	-4.1	NA	2001	US	Botany	3562340	4114	H. Vargas	14.8980148	7.8	70.0516724	22.3817093	20.3980148	9.2496849	11.1	15.1496857	14.5980148	15.2496857	14.4980148	1271.506348	371.568787	5	111.999992	996.122803	19.533981	880.73584	35.266991	sEC_nPE	2127
1836737545	ayavacense	-79.95	-4.08	NA	2001	US	Botany	3562342	4115	H. Vargas	13.4585754	7.7043037	70.0483276	22.874556	18.9102478	7.8585762	11.0556969	13.7059433	13.1585754	13.8059433	13.0585754	1317.508423	401.513885	5	114.399994	1073.777954	19.086077	893.860779	33.6833	sEC_nPE	2413
1836736413	ayavacense	-79.93	-4.08	NA	2001	US	Botany	3562334	4119	H. Vargas	13.1437347	7.8	69.9923645	21.971489	18.5590057	7.459005	11.1	13.3513702	12.759005	13.4513702	12.7437347	1267.395142	368.166382	5.916715	111.083275	991.228516	21.916716	868.541138	38.750145	sEC_nPE	2017.880005
