dentatum	12
loeseneri	43
stenocalyx	3
tiliaefolium	18
microcarpum	60
caudatum	3
ciliatum	3
hirsutum	15
sulcatum	30
fuscum	3
microphyllum	3
acutifolium	3
newsp.1	3
membranaceum	3
newsp.2	60
discolor	43
disjunctum	3
blandum	3
lautum	3
jucundum	21
stellato-tomentosum	43
alpinum	3
villosum	3
obtusatum	3
hartwegii	3
costaricanum	3
tinoides_1	3
undulatum	3
subsessile	3
tinoides_2	3
triphyllum	3
lasiophyllum	3
pichinchense	3
jamesonii	3
hallii	3
toronis	30
seemenii	3
dumatorum	3
reticulatum	0
triphyllum_new	3
ayavacense	3
